,x,y,bed
201,-1619500.0,-249500.0,-146.63644409179688
202,-1619000.0,-249500.0,-102.12680053710938
203,-1618500.0,-249500.0,-79.25006103515625
204,-1618000.0,-249500.0,-68.96966552734375
205,-1617500.0,-249500.0,-66.30975341796875
206,-1617000.0,-249500.0,-65.51614379882812
207,-1616500.0,-249500.0,-81.20184326171875
208,-1616000.0,-249500.0,-109.68618774414062
209,-1615500.0,-249500.0,-138.73196411132812
210,-1615000.0,-249500.0,-159.99679565429688
211,-1614500.0,-249500.0,-172.26318359375
212,-1614000.0,-249500.0,-178.61111450195312
213,-1613500.0,-249500.0,-188.22042846679688
214,-1613000.0,-249500.0,-202.74749755859372
215,-1612500.0,-249500.0,-222.63177490234372
216,-1612000.0,-249500.0,-250.68365478515625
217,-1611500.0,-249500.0,-287.044921875
218,-1611000.0,-249500.0,-327.1850280761719
219,-1610500.0,-249500.0,-373.0752258300781
220,-1610000.0,-249500.0,-414.4973449707031
221,-1609500.0,-249500.0,-461.61582946777344
222,-1609000.0,-249500.0,-501.1204528808594
223,-1608500.0,-249500.0,-536.4393310546875
224,-1608000.0,-249500.0,-575.0494842529297
225,-1607500.0,-249500.0,-614.7205505371094
226,-1607000.0,-249500.0,-646.8131256103516
227,-1606500.0,-249500.0,-674.7632751464844
228,-1606000.0,-249500.0,-694.5639038085938
229,-1605500.0,-249500.0,-726.3484344482422
230,-1605000.0,-249500.0,-757.928955078125
231,-1604500.0,-249500.0,-785.1823272705078
232,-1604000.0,-249500.0,-806.1927795410156
233,-1603500.0,-249500.0,-815.9997711181641
234,-1603000.0,-249500.0,-833.0662384033203
235,-1602500.0,-249500.0,-883.5705108642578
236,-1602000.0,-249500.0,-946.034149169922
237,-1601500.0,-249500.0,-999.1702270507812
238,-1601000.0,-249500.0,-1033.9356384277344
239,-1600500.0,-249500.0,-1064.432098388672
240,-1600000.0,-249500.0,-1087.8410339355469
241,-1599500.0,-249500.0,-1112.9435272216797
242,-1599000.0,-249500.0,-1134.9255981445312
243,-1598500.0,-249500.0,-1154.4902801513672
244,-1598000.0,-249500.0,-1164.7043914794922
245,-1597500.0,-249500.0,-1171.6009826660156
246,-1597000.0,-249500.0,-1183.0186920166016
247,-1596500.0,-249500.0,-1195.9760284423828
248,-1596000.0,-249500.0,-1211.92431640625
249,-1595500.0,-249500.0,-1221.3155059814453
250,-1595000.0,-249500.0,-1222.62255859375
251,-1594500.0,-249500.0,-1234.0651092529297
252,-1594000.0,-249500.0,-1250.8838653564453
253,-1593500.0,-249500.0,-1264.1119842529297
254,-1593000.0,-249500.0,-1265.4022216796875
255,-1592500.0,-249500.0,-1265.560287475586
256,-1592000.0,-249500.0,-1270.215087890625
257,-1591500.0,-249500.0,-1276.3736419677734
258,-1591000.0,-249500.0,-1280.9928131103516
259,-1590500.0,-249500.0,-1285.880126953125
260,-1590000.0,-249500.0,-1287.6159973144531
261,-1589500.0,-249500.0,-1291.521728515625
262,-1589000.0,-249500.0,-1287.314971923828
263,-1588500.0,-249500.0,-1283.9491729736328
264,-1588000.0,-249500.0,-1286.2958068847656
265,-1587500.0,-249500.0,-1284.0355072021484
266,-1587000.0,-249500.0,-1272.2159118652344
267,-1586500.0,-249500.0,-1257.4575805664062
268,-1586000.0,-249500.0,-1245.8649597167969
269,-1585500.0,-249500.0,-1236.6721496582031
270,-1585000.0,-249500.0,-1232.8839721679688
