,x,y,bedrock_altitude (m)
0,-1619999.8,-249999.72,-225.9556503978049
1,-1619499.8,-249999.72,-308.5683496543671
2,-1618999.8,-249999.72,-457.7687438528938
3,-1618499.8,-249999.72,-578.459432137899
4,-1617999.8,-249999.72,-483.8757059821878
5,-1617499.8,-249999.72,-516.9960269119672
6,-1616999.8,-249999.72,-569.6122898604932
7,-1616499.8,-249999.72,-557.855648721392
8,-1615999.8,-249999.72,-617.8290527688251
9,-1615499.8,-249999.72,-473.70307914824923
10,-1614999.8,-249999.72,-502.6266602179524
11,-1614499.8,-249999.72,-407.0834899395015
12,-1613999.8,-249999.72,-214.6904018466292
13,-1613499.8,-249999.72,-319.41731120223585
14,-1612999.8,-249999.72,-460.41441591390765
15,-1612499.8,-249999.72,-516.2083230034832
16,-1611999.8,-249999.72,-591.9076183907449
17,-1611499.8,-249999.72,-606.7471028022068
18,-1610999.8,-249999.72,-432.376713655082
19,-1610499.8,-249999.72,-295.5762902372075
20,-1609999.8,-249999.72,-331.02735233591477
21,-1609499.8,-249999.72,-372.13606029658996
22,-1608999.8,-249999.72,-329.83112590198624
23,-1608499.8,-249999.72,-313.56614460885373
24,-1607999.8,-249999.72,-362.1866801256304
25,-1607499.8,-249999.72,-333.46545448337247
26,-1606999.8,-249999.72,-218.3186883622603
27,-1606499.8,-249999.72,-259.8748904547474
28,-1605999.8,-249999.72,-239.98268327666545
29,-1605499.8,-249999.72,-279.59157353163215
30,-1604999.8,-249999.72,-377.0092089526095
31,-1604499.8,-249999.72,-159.4180507354384
32,-1603999.8,-249999.72,-186.36900118567814
33,-1603499.8,-249999.72,-103.86962615665244
34,-1602999.8,-249999.72,10.729213677850607
35,-1602499.8,-249999.72,-281.56650308222413
36,-1601999.8,-249999.72,-231.16163504923372
37,-1601499.8,-249999.72,-280.0835304574673
38,-1600999.8,-249999.72,-409.62648121000046
39,-1600499.8,-249999.72,-301.2700088216116
40,-1599999.8,-249999.72,-224.20645236552963
41,-1599499.8,-249999.72,-114.23269825215145
42,-1598999.8,-249999.72,-110.06373252330779
43,-1598499.8,-249999.72,-400.11761269256095
44,-1597999.8,-249999.72,-618.4095450039948
45,-1597499.8,-249999.72,-682.4319277205329
46,-1596999.8,-249999.72,-662.0900037790019
47,-1596499.8,-249999.72,-670.0187307278763
48,-1595999.8,-249999.72,-659.3799760170052
49,-1595499.8,-249999.72,-684.1138394681326
50,-1594999.8,-249999.72,-653.8300069627608
51,-1594499.8,-249999.72,-645.2385714810295
52,-1593999.8,-249999.72,-732.0999873582498
53,-1593499.8,-249999.72,-744.2199714349042
54,-1592999.8,-249999.72,-772.3428139850586
55,-1592499.8,-249999.72,-826.6800050106999
56,-1591999.8,-249999.72,-860.0000476943571
57,-1591499.8,-249999.72,-883.9740504961344
58,-1590999.8,-249999.72,-912.33539853555
59,-1590499.8,-249999.72,-994.3039177998073
60,-1589999.8,-249999.72,-1156.6281673565513
61,-1589499.8,-249999.72,-1239.2594369387195
62,-1588999.8,-249999.72,-1219.7646188665249
63,-1588499.8,-249999.72,-1266.7426592957672
64,-1587999.8,-249999.72,-1267.1374983575843
65,-1587499.8,-249999.72,-1204.009037527965
66,-1586999.8,-249999.72,-1248.0154063152838
67,-1586499.8,-249999.72,-1221.902667147556
68,-1585999.8,-249999.72,-1193.403440986821
69,-1585499.8,-249999.72,-1234.5264990408773
70,-1584999.8,-249999.72,-1261.7353207269682
71,-1584499.8,-249999.72,-1254.2319602189834
72,-1583999.8,-249999.72,-1181.312333114497
73,-1583499.8,-249999.72,-1175.9496866349684
